City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nargana,PA,2022-04-17 09:55:17,9.4428,-78.5906,78.91,82,100,5.66
68,Rockhampton,AU,2022-04-17 09:52:38,-23.3833,150.5,73.29,64,0,5.75
69,Khor,RU,2022-04-17 09:55:17,47.8861,134.9464,40.64,55,70,7.78
70,Pathein,MM,2022-04-17 09:54:11,16.7833,94.7333,90.39,54,45,13.4
71,Goderich,CA,2022-04-17 09:55:18,43.7501,-81.7165,32.92,69,100,14.97
72,Kapaa,US,2022-04-17 09:55:18,22.0752,-159.319,71.58,99,44,12.08
73,Bima,ID,2022-04-17 09:55:18,-8.4667,118.7167,79.97,87,91,1.3
74,Lafia,NG,2022-04-17 09:55:19,8.4833,8.5167,94.8,42,29,5.93
75,Port Alfred,ZA,2022-04-17 09:55:19,-33.5906,26.891,70.18,71,95,1.99
76,Naraina,IN,2022-04-17 09:55:20,26.7833,75.2,105.71,10,53,14.76
77,Zhigansk,RU,2022-04-17 09:55:20,66.7697,123.3711,26.24,90,99,26.08
78,Nizwa,OM,2022-04-17 09:55:20,22.9333,57.5333,101.79,9,47,15.41
79,Ust-Nera,RU,2022-04-17 09:55:21,64.5667,143.2,12.36,95,94,2.55
80,Palu,ID,2022-04-17 09:55:21,-0.8917,119.8707,78.84,92,99,1.77
81,Hilo,US,2022-04-17 09:55:21,19.7297,-155.09,72.63,81,100,8.99
82,Agadir,MA,2022-04-17 09:55:22,30.4202,-9.5982,82.85,25,100,2.13
83,Remiremont,FR,2022-04-17 09:55:22,48.0175,6.5882,53.78,24,0,8.14
84,Auki,SB,2022-04-17 09:55:22,-8.7676,160.7034,77.83,86,100,3.85
85,Idlib,SY,2022-04-17 09:55:23,35.9306,36.6339,77.99,21,11,9.01
86,Bac Ninh,VN,2022-04-17 09:55:23,21.1833,106.05,66.29,81,100,6.69
87,Kahului,US,2022-04-17 09:55:23,20.8947,-156.47,75.85,80,46,13.0
88,Cascais,PT,2022-04-17 09:51:38,38.6979,-9.4215,64.51,66,20,24.0
89,Kholodnyy,RU,2022-04-17 09:56:24,62.7167,147.95,5.63,90,85,3.94
90,Tilichiki,RU,2022-04-17 09:56:24,60.4667,166.1,15.91,96,32,4.5
91,Port Lincoln,AU,2022-04-17 09:56:25,-34.7333,135.8667,63.05,82,100,5.7
92,Thompson,CA,2022-04-17 09:56:25,55.7435,-97.8558,14.16,67,75,2.3
93,Barrow,US,2022-04-17 09:55:01,71.2906,-156.7887,-2.72,99,13,9.91
94,Terrace,CA,2022-04-17 09:53:38,54.5163,-128.6035,30.11,64,20,2.3
95,Fare,PF,2022-04-17 09:56:26,-16.7,-151.0167,81.0,72,2,11.77
96,San Lawrenz,MT,2022-04-17 09:56:26,36.0553,14.204,67.41,77,4,1.99
97,Codrington,AU,2022-04-17 09:56:26,-38.2667,141.9667,62.47,89,100,8.08
98,Lavrentiya,RU,2022-04-17 09:56:27,65.5833,-171.0,29.21,98,100,10.27
99,Akureyri,IS,2022-04-17 09:56:27,65.6835,-18.0878,48.13,71,40,11.5
100,Wajir,KE,2022-04-17 09:56:28,1.7471,40.0573,91.36,43,75,3.44
101,Lencois Paulista,BR,2022-04-17 09:56:28,-22.5986,-48.8003,57.69,92,0,9.24
102,Westport,US,2022-04-17 09:52:06,41.1415,-73.3579,43.56,93,26,1.99
103,Chuy,UY,2022-04-17 09:56:29,-33.6971,-53.4616,59.5,85,49,4.97
104,Mahebourg,MU,2022-04-17 09:56:29,-20.4081,57.7,81.25,89,75,6.91
105,Georgetown,MY,2022-04-17 09:56:29,5.4112,100.3354,91.33,70,20,11.99
